"id","title","link","description","image_link","blog","tags","date","df_grouping_id"
"article_613604622675","Vijverplanten voor de Koivijver: Welke Overleven en Welke Worden Opgegeten?","https://vijvercentrum.nl/blogs/vijver-aanleggen/vijverplanten-voor-de-koivijver-welke-overleven-en-welke-worden-opgegeten","Welke vijverplanten overleven in een koivijver en welke worden kaalgevreten? Praktische tips voor plantenkeuze, gescheiden plantenzones en filtratie.","https://cdn.shopify.com/s/files/1/0998/4059/0163/articles/a-beautiful-koi-pond-with-aquatic-plants-growing-in-different-zones-showing-hardy-water-lilies-with-pink-flowers-floating-on-the-surface-tall-iris-plants-in-a-fenced-off-shallow-margi.png?v=1774349338","Vijver Aanleggen","vijver aanleggen","2026-06-26T22:05:12Z","article"
"article_613607047507","Vijver Leeghalen: Stap-voor-Stap Plan voor een Veilige Grote Schoonmaak","https://vijvercentrum.nl/blogs/vijveronderhoud/vijver-leeghalen-stap-voor-stap-plan-voor-een-veilige-grote-schoonmaak","Vijver leeghalen? Volg ons stap-voor-stap plan: vissen veilig verhuizen, slib verwijderen, folie reinigen en waterwaarden herstellen. Met praktijktips.","https://cdn.shopify.com/s/files/1/0998/4059/0163/articles/schoonmaak-koi-vijver-zonder-mensen.png?v=1773667513","Vijveronderhoud","vijveronderhoud","2026-06-26T09:00:00Z","article"
"article_613606785363","Mijn Koi Wil Niet Eten: 9 Mogelijke Oorzaken en Oplossingen","https://vijvercentrum.nl/blogs/voeding-voer/mijn-koi-wil-niet-eten-9-mogelijke-oorzaken-en-oplossingen","Koi wil niet eten? Ontdek 9 oorzaken zoals watertemperatuur, waterkwaliteit en parasieten, met concrete oplossingen die je direct kunt toepassen.","https://cdn.shopify.com/s/files/1/0998/4059/0163/articles/sfeer-foto-koi-vijver.png?v=1773653187","Voeding & Voer","voeding voer","2026-06-26T09:00:00Z","article"
"article_613607244115","Vijverbodembedekking: Zand, Grind of Kaal - Wat is het Beste?","https://vijvercentrum.nl/blogs/vijveronderhoud/vijverbodembedekking-zand-grind-of-kaal-wat-is-het-beste","Kale bodem, grind of zand in je vijver? Ontdek welke bodembedekking het beste werkt voor koivijvers en natuurvijvers, met praktische tips en veelgemaakte fouten.","https://cdn.shopify.com/s/files/1/0998/4059/0163/articles/vijver-met-bodemdekking-en-goudvissen-nederlandse-achtertuin.png?v=1773668333","Vijveronderhoud","vijveronderhoud","2026-06-26T08:00:00Z","article"
"article_613604458835","Vijverfolie of Prefab? Welk Type Vijver Past bij Jouw Tuin","https://vijvercentrum.nl/blogs/vijver-aanleggen/vijverfolie-of-prefab-welk-type-vijver-past-bij-jouw-tuin","Vijverfolie of prefab vijver? Vergelijk kosten, levensduur en installatie. Ontdek welk type vijver past bij jouw tuin, budget en ervaring.","https://cdn.shopify.com/s/files/1/0998/4059/0163/articles/a-side-by-side-comparison-in-a-dutch-garden-showing-two-types-of-garden-ponds-on-the-left-a-custom-shaped-pond-lined-with-black-epdm-rubber-liner-draped-over-excavated-soil-with-natur.png?v=1774349788","Vijver Aanleggen","vijver aanleggen","2026-06-26T07:30:00Z","article"
"article_614944145747","Waterval in de vijver maken","https://vijvercentrum.nl/blogs/vijver-aanleggen/waterval-in-de-vijver-maken-aanleg-pomp-en-kosten","Een waterval in de vijver maak je in vijf stappen. Bereken de pomp op debiet en opvoerhoogte, leg folie of een cascade-element en stel de stroom af. Met pomptabel, kosten en onderhoud.","","Vijver Aanleggen","beekloop/GEO/vijver aanleggen/vijverpomp/waterval","2026-06-26T07:00:00Z","article"
"article_613602263379","Koi Wondverzorging: Zo Behandel Je Beschadigingen en Zweren","https://vijvercentrum.nl/blogs/koi-gezondheid-verzorging/koi-wondverzorging-zo-behandel-je-beschadigingen-en-zweren","Leer hoe je wonden en zweren bij koi behandelt. Stap-voor-stap wondverzorging met quarantaine, zout, mentholperoxide en Shield voor snel herstel.","","Koi Gezondheid & Verzorging","koi gezondheid","2026-06-26T07:00:00Z","article"
"article_614940115283","Oever- en moerasplanten voor de vijver: welke soorten kiezen?","https://vijvercentrum.nl/blogs/vijveronderhoud/oever-en-moerasplanten-vijver-welke-soorten-kiezen","Oever- en moerasplanten staan met hun voeten in het water en hun blad erboven, langs de rand van de vijver. Ze nemen voedingsstoffen op die anders algen voeden, geven schuilplaats aan kikkers en libellen, en maken de overgang van water naar tuin natuurlijk. De populairste en makkelijkste soorten voor de Nederlandse vijver zijn gele lis, kalmoes, lisdodde, pijlkruid, zwanenbloem, kattenstaart en watermunt. Je plant ze in de moeras- of oeverzone op 0 tot 30 cm waterdiepte, in plantmanden met arme grond of kleikorrels, en je beplant ongeveer een derde tot de helft van de oever voor een goede wate","","Vijveronderhoud","","2026-06-26T06:00:00Z","article"
"article_614624166227","Welke vissen passen samen met koi in een vijver?","https://vijvercentrum.nl/blogs/koi-gezondheid-verzorging/welke-vissen-passen-bij-koi","Koi gaan het best samen met grote, vreedzame koudwatervissen zoals goudvis, shubunkin, sarasa, graskarper, zeelt en steur. Vermijd kleine vissen die als prooi gezien kunnen worden en agressieve soorten. De vijver moet groot en koud genoeg zijn voor alle bewoners samen. In dit artikel lees je welke vissen goed samengaan met koi, welke je beter mijdt en waar je op let bij het combineren. In het kort Laatst bijgewerkt: 26 juni 2026 door Kees De beste medebewoners voor koi zijn andere koudwatervissen van vergelijkbare grootte: goudvis, shubunkin, sarasa, graskarper, zeelt en steur. Vermijd kleine ","","Koi Gezondheid & Verzorging","combineren vissen/goudvis/koi/koivijver/vijvervissen","2026-06-26T06:00:00Z","article"
"article_614624461139","Welke zuurstofplanten heb je nodig en hoeveel?","https://vijvercentrum.nl/blogs/vijveronderhoud/zuurstofplanten-welke-en-hoeveel","Voor een gemiddelde tuinvijver reken je op ongeveer 3 tot 5 bossen zuurstofplanten per vierkante meter wateroppervlak, of ongeveer 1 bos per 1.000 tot 2.000 liter water. Een bos bevat meestal 4 tot 6 stengels. Plant ze in de lente, dan groeien ze het snelst aan. Zuurstofplanten zoals waterpest, hoornblad en aarvederkruid houden je water helder, concurreren met algen om voedingsstoffen en geven overdag zuurstof af. Hieronder lees je precies welke soorten je kiest en hoeveel je nodig hebt. In het kort: zuurstofplanten kiezen en doseren Laatst bijgewerkt: 25 juni 2026 door Kees Reken op 3 tot 5 b","","Vijveronderhoud","helder water/vijveraanleg/vijveronderhoud/waterplanten/zuurstofplanten","2026-06-25T12:00:00Z","article"
